character,dialogue
ANATOLY,We are here.
ANATOLY,5 MINUTES LATER: THE TWO SUBS skim over the seafloor to the sound of
ANATOLY,sidescan sonar and the THRUM of big thrusters.
ANATOLY,6 The featureless gray clay of the bottom unrols in the lights of the subs.
ANATOLY,"Bodine is watching the sidescan sonar display, where the outline of a huge"
ANATOLY,"pointed object is visible. Anatoly lies prone, driving the sub, his face"
ANATOLY,pressed to the center port.
BODINE,"Come left a little. She's right in front of us, eighteen meters. Fifteen."
BODINE,Thirteen... you should see it.
ANATOLY,Do you see it? I don't see it... there!
ANATOLY,"Out of the darkness, like a ghostly apparition, the bow of the ship"
ANATOLY,"appears. Its knife-edge prow is coming straight at us, seeming to plow the"
ANATOLY,"bottom sediment like ocean waves. It towers above the seafloor, standing"
ANATOLY,just as it landed 84 years ago.
ANATOLY,THE TITANIC. Or what is left of her. Mir One goes up and over the bow
ANATOLY,"railing, intact except for an overgrowth of ""rusticles"" draping it like"
ANATOLY,mutated Spanish moss.
ANATOLY,TIGHT ON THE EYEPIECE MONITOR of a video camcorder. Brock Lovett's face
ANATOLY,fills the BLACK AND WHITE FRAME.
LOVETT,It still gets me every time.
LOVETT,"The image pans to the front viewport, looking over Anatoly's shoulder, to"
LOVETT,the bow railing visible in the lights beyond. Anatoly turns.
ANATOLY,Is just your guilt because of estealing from the dead.
ANATOLY,"CUT WIDER, to show that Brock is operating the camera himself, turning it"
ANATOLY,in his hand so it points at his own face.
LOVETT,"Thanks, Tolya. Work with me, here."
LOVETT,"Brock resumes his serious, pensive gaze out the front port, with the camera"
LOVETT,aimed at himself at arm's length.
LOVETT,It still gets me every time... to see the sad ruin of the great ship
LOVETT,"sitting here, where she landed at 2:30 in the morning, April 15, 1912,"
LOVETT,after her long fall from the world above.
LOVETT,Anatoly rolls his eyes and mutters in Russian. Bodine chuckles and watches
LOVETT,the sonar.
BODINE,"You are so full of shit, boss."
BODINE,"7 Mir Two drives aft down the starboard side, past the huge anchor while"
BODINE,"Mir One passes over the seemingly endless forecastle deck, with its massive"
BODINE,"anchor chains still laid out in two neat rows, its bronze windlass caps"
BODINE,gleaming. The 22 foot long subs are like white bugs next to the enormous
BODINE,wreck.
LOVETT (V.O.),Dive nine. Here we are again on the deck of Titanic... two and a half miles
LOVETT (V.O.),"down. The pressure is three tons per square inch, enough to crush us like a"
LOVETT (V.O.),freight train going over an ant if our hull fails. These windows are nine
LOVETT (V.O.),"inches thick and if they go, it's sayonara in two microseconds."
LOVETT (V.O.),"8 Mir Two lands on the boat deck, next to the ruins of the Officer's"
LOVETT (V.O.),Quarters. Mir One lands on the roof of the deck hous nearby.
LOVETT,Right. Let's go to work.
LOVETT,"Bodine slips on a pair of 3-D electronic goggles, and grabs the joystick"
LOVETT,controls of the ROV.
LOVETT,"9 OUTSIDE THE SUB, the ROV, a small orange and black robot called SNOOP"
LOVETT,"DOG, lifts from its cradle and flies forward."
BODINE (V.O.),Walkin' the dog.
BODINE (V.O.),"SNOOP DOG drives itself away from the sub, paying out its umbilical behind"
BODINE (V.O.),it like a robot yo-yo. Its twin stereo-video cameras swivel like insect
BODINE (V.O.),eyes. The ROV descends through an open shaft that once was the beautiful
BODINE (V.O.),First Class Grand Staircase.
BODINE (V.O.),"Snoop Dog goes down several decks, then moves laterally into the First"
BODINE (V.O.),Class Reception Room.
BODINE (V.O.),"SNOOP'S VIDEO POV, moving through the cavernous interior. The remains of"
BODINE (V.O.),the ornate handcarved woodwork which gave the ship its elegance move
BODINE (V.O.),"through the floodlights, the lines blurred by slow dissolution and"
BODINE (V.O.),descending rusticle formations. Stalactites of rust hang down so that at
BODINE (V.O.),of a ghostly undersea mansion can be seen again.
BODINE (V.O.),"MONTAGE STYLE, as Snoop passes the ghostly images of Titanic's opulence:"
BODINE (V.O.),"10 A grand piano in amazingly good shape, crashed on its side against a"
BODINE (V.O.),wall. The keys gleam black and white in the lights.
BODINE (V.O.),"11 A chandelier, still hanging from the ceiling by its wire... glinting as"
BODINE (V.O.),Snoop moves around it.
BODINE (V.O.),"12 Its lights play across the floor, revealing a champagne bottle, then"
BODINE (V.O.),"some WHITE STAR LINE china... a woman's high-top ""granny shoe"". Then"
BODINE (V.O.),something eerie: what looks like a child's skull resolves into the
